Prefix,PlantType,Plant ID,Numeric ID,Lookup IP,Bay,Downstream,Upstream,Base
11_,inverter_PE_gen3,15624,,192.168.23.50,10BBA_10,17016,15622#15623,Inverter
,battery control,15585,,,00CCP,,,battery control
,DUMMY,15663,,,00CCP,,,DUMMY
,BLF_available_power,17049,,,00CCP,,,available_power
,grid_conn,15589,,,00CCP,,,grid_conn
,Danske API,17011,,192.168.23.3:502,00CCP,,,api
,setpoint_status,15607,,,00CCP,,,setpoint
,setpoint_system,15608,,,00CCP,,,setpoint
,G99,15588,,,00CCP,,,GX9
,weather_station,15583,1,192.168.23.90,00CCP,,,weather_station
,setpoint_testing,15609,,,00CCP,,,setpoint
,setpoint_transformer,15610,,,00CCP,,,setpoint
,setpoint_watchdog,15611,,,00CCP,,,setpoint
,inverter control,15587,,,00CCP,,,inverter control
,control,15586,,,00CCP,,,control
,Alerts,15584,,,00CCP,,,Alerts
,setpoint_CATL,15662,,,00CCP,,,setpoint
,setpoint_PE,15661,,,00CCP,,,setpoint
,ANM_SSE,17059,,192.168.23.28,00CCP,,,ANM
,BLF_FPGA,15660,,,00CCP,,,FPGA
,G99 relay,3208,,,00CCP,,,Gx9 relay
,setpoint_manual,15604,,,00CCP,,,setpoint
,setpoint_limits,15602,,,00CCP,,,setpoint
,setpoint_ANM_SSE,17060,,,00CCP,,,setpoint
,setpoint_notification,15605,,,00CCP,,,setpoint
,setpoint_LI_Ion,15601,,,00CCP,,,setpoint
,setpoint_inverter,15600,,,00CCP,,,setpoint
,setpoint_generator,15598,,,00CCP,,,setpoint
,LV_Compartment_BLF,3187,,,00CCP,,,LV_Compartment_BLF
,security alarm,17010,,,00CCP,,,security alarm
,status,15613,,,00CCP,,,status
,setpoint_G99,15597,,,00CCP,,,setpoint
,site,15612,,,00CCP,,3180#3189,site
,site_specific_BLF,15637,,,00CCP,,,site_specific
,websocket_datastream,17015,,192.168.23.3:8765,00CCP,,,websocket_datastream
,setpoint_error correct,15596,,,00CCP,,,setpoint
,redis,17042,,192.168.23.3:6379,00CCP,,,redis
,setpoint_rising_mountain,15606,,,00CCP,,,setpoint
,setpoint_error,15595,,,00CCP,,,setpoint
,setpoint_debug,15594,,,00CCP,,,setpoint
,setpoint_control,15593,,,00CCP,,,setpoint
,setpoint_contract,15592,,,00CCP,,,setpoint
,setpoint_api,15591,,,00CCP,,,setpoint
,noricore_base,15590,,,00CCP,,,noricore_base
00_AUX_,feeder_MV_ABB_ZX2,3180,,,00CCP,15612,,feeder
00_AUX_,transformer_westrafo,15635,,,00CCP,,,Transformer
00_BBA_,feeder_MV_ABB_ZX2,3189,,,00CCP,15612,3190#3191,feeder
00_bus_VT_,VT,3209,,,00CCP,,,VT
00_inc_CT_,CT,3206,,,00CCP,,,CT
00_inc_VT_,VT,3265,,,00CCP,,,VT
1_,AASS_box,17024,,,00CCP,,,dist_panel
10_,AUX_M4M,17019,,192.168.23.20,10BBA_10,,,meter
10_BBA_,feeder_MV_ABB_ZX2,3190,,,00CCP,3189,17016#17017,feeder
11_A_,battery_CATL_aggregator,15622,192.168.23.60,192.168.23.4:504#192.168.23.5:504#192.168.23.6:504#192.168.23.7:504,10BBA_10,15624,16929#16930#16931#15813#15814#15815#15816#15817#15818#15819,Battery
11_A_01_,CATL_SBMU,16929,,,10BBA_10,15622,,CATL_SBMU
11_A_02_,CATL_SBMU,16930,,,10BBA_10,15622,,CATL_SBMU
11_A_03_,CATL_SBMU,16931,,,10BBA_10,15622,,CATL_SBMU
11_A_04_,CATL_SBMU,15813,,,10BBA_10,15622,,CATL_SBMU
11_A_05_,CATL_SBMU,15814,,,10BBA_10,15622,,CATL_SBMU
11_A_06_,CATL_SBMU,15815,,,10BBA_10,15622,,CATL_SBMU
11_A_07_,CATL_SBMU,15816,,,10BBA_10,15622,,CATL_SBMU
11_A_08_,CATL_SBMU,15817,,,10BBA_10,15622,,CATL_SBMU
11_A_09_,CATL_SBMU,15818,,,10BBA_10,15622,,CATL_SBMU
11_A_10_,CATL_SBMU,15819,,,10BBA_10,15622,,CATL_SBMU
11_B_,battery_CATL_aggregator,15623,192.168.23.61,192.168.23.4:504#192.168.23.5:504#192.168.23.6:504#192.168.23.7:504,10BBA_10,15624,15820#15821#15822#15823#15824#15825#15826#15827#15828#15829#15830,Battery
11_B_01_,CATL_SBMU,15820,,,10BBA_10,15623,,CATL_SBMU
11_B_02_,CATL_SBMU,15821,,,10BBA_10,15623,,CATL_SBMU
11_B_03_,CATL_SBMU,15822,,,10BBA_10,15623,,CATL_SBMU
11_B_04_,CATL_SBMU,15823,,,10BBA_10,15623,,CATL_SBMU
11_B_05_,CATL_SBMU,15824,,,10BBA_10,15623,,CATL_SBMU
11_B_06_,CATL_SBMU,15825,,,10BBA_10,15623,,CATL_SBMU
11_B_07_,CATL_SBMU,15826,,,10BBA_10,15623,,CATL_SBMU
11_B_08_,CATL_SBMU,15827,,,10BBA_10,15623,,CATL_SBMU
11_B_09_,CATL_SBMU,15828,,,10BBA_10,15623,,CATL_SBMU
11_B_10_,CATL_SBMU,15829,,,10BBA_10,15623,,CATL_SBMU
11_B_11_,CATL_SBMU,15830,,,10BBA_10,15623,,CATL_SBMU
2_,AASS_box,17025,,,00CCP,,,dist_panel
20_,AUX_M4M,17021,,192.168.23.21,20BBA_20,,,meter
20_BBA_,feeder_MV_ABB_ZX2,3191,,,00CCP,3189,3230#3215,feeder
21_,inverter_PE_gen3,3219,,192.168.23.51,20BBA_20,3215,3226#3225,Inverter
21_A_,battery_CATL_aggregator,3225,192.168.23.62,192.168.23.5:505#192.168.23.6:505#192.168.23.7:505#192.168.23.4:505,20BBA_20,3219,15957#15958#15959#15960#15961#15962#15963#15964#15965#15966,Battery
21_A_01_,CATL_SBMU,15957,,,20BBA_20,3225,,CATL_SBMU
21_A_02_,CATL_SBMU,15958,,,20BBA_20,3225,,CATL_SBMU
21_A_03_,CATL_SBMU,15959,,,20BBA_20,3225,,CATL_SBMU
21_A_04_,CATL_SBMU,15960,,,20BBA_20,3225,,CATL_SBMU
21_A_05_,CATL_SBMU,15961,,,20BBA_20,3225,,CATL_SBMU
21_A_06_,CATL_SBMU,15962,,,20BBA_20,3225,,CATL_SBMU
21_A_07_,CATL_SBMU,15963,,,20BBA_20,3225,,CATL_SBMU
21_A_08_,CATL_SBMU,15964,,,20BBA_20,3225,,CATL_SBMU
21_A_09_,CATL_SBMU,15965,,,20BBA_20,3225,,CATL_SBMU
21_A_10_,CATL_SBMU,15966,,,20BBA_20,3225,,CATL_SBMU
21_B_,battery_CATL_aggregator,3226,192.168.23.63,192.168.23.5:505#192.168.23.6:505#192.168.23.7:505#192.168.23.4:505,20BBA_20,3219,15967#15968#15969#15970#15971#15972#15973#15974#15975#15976#15977,Battery
21_B_01_,CATL_SBMU,15967,,,20BBA_20,3226,,CATL_SBMU
21_B_02_,CATL_SBMU,15968,,,20BBA_20,3226,,CATL_SBMU
21_B_03_,CATL_SBMU,15969,,,20BBA_20,3226,,CATL_SBMU
21_B_04_,CATL_SBMU,15970,,,20BBA_20,3226,,CATL_SBMU
21_B_05_,CATL_SBMU,15971,,,20BBA_20,3226,,CATL_SBMU
21_B_06_,CATL_SBMU,15972,,,20BBA_20,3226,,CATL_SBMU
21_B_07_,CATL_SBMU,15973,,,20BBA_20,3226,,CATL_SBMU
21_B_08_,CATL_SBMU,15974,,,20BBA_20,3226,,CATL_SBMU
21_B_09_,CATL_SBMU,15975,,,20BBA_20,3226,,CATL_SBMU
21_B_10_,CATL_SBMU,15976,,,20BBA_20,3226,,CATL_SBMU
21_B_11_,CATL_SBMU,15977,,,20BBA_20,3226,,CATL_SBMU
22_,inverter_PE_gen3,3220,,192.168.23.52,20BBA_20,3215,3228#3227,Inverter
22_A_,battery_CATL_aggregator,3228,192.168.23.64,192.168.23.5:505#192.168.23.6:505#192.168.23.7:505#192.168.23.4:505,20BBA_20,3220,15978#15979#15980#15981#15982#15983#15984#15985#15986#15987,Battery
22_A_01_,CATL_SBMU,15978,,,20BBA_20,3228,,CATL_SBMU
22_A_02_,CATL_SBMU,15979,,,20BBA_20,3228,,CATL_SBMU
22_A_03_,CATL_SBMU,15980,,,20BBA_20,3228,,CATL_SBMU
22_A_04_,CATL_SBMU,15981,,,20BBA_20,3228,,CATL_SBMU
22_A_05_,CATL_SBMU,15982,,,20BBA_20,3228,,CATL_SBMU
22_A_06_,CATL_SBMU,15983,,,20BBA_20,3228,,CATL_SBMU
22_A_07_,CATL_SBMU,15984,,,20BBA_20,3228,,CATL_SBMU
22_A_08_,CATL_SBMU,15985,,,20BBA_20,3228,,CATL_SBMU
22_A_09_,CATL_SBMU,15986,,,20BBA_20,3228,,CATL_SBMU
22_A_10_,CATL_SBMU,15987,,,20BBA_20,3228,,CATL_SBMU
22_B_,battery_CATL_aggregator,3227,192.168.23.65,192.168.23.5:505#192.168.23.6:505#192.168.23.7:505#192.168.23.4:505,20BBA_20,3220,15988#15989#15990#15991#15992#15993#15994#15995#15996#15997#16932,Battery
22_B_01_,CATL_SBMU,15988,,,20BBA_20,3227,,CATL_SBMU
22_B_02_,CATL_SBMU,15989,,,20BBA_20,3227,,CATL_SBMU
22_B_03_,CATL_SBMU,15990,,,20BBA_20,3227,,CATL_SBMU
22_B_04_,CATL_SBMU,15991,,,20BBA_20,3227,,CATL_SBMU
22_B_05_,CATL_SBMU,15992,,,20BBA_20,3227,,CATL_SBMU
